iter	Passed	Remaining
0	201	100686
1	240	59983
2	275	45700
3	310	38496
4	353	34957
5	368	30338
6	401	28242
7	433	26644
8	452	24703
9	475	23309
10	506	22522
11	538	21886
12	560	21001
13	575	19965
14	591	19138
15	615	18626
16	639	18169
17	665	17819
18	689	17450
19	712	17099
20	733	16726
21	751	16318
22	774	16062
23	795	15786
24	819	15576
25	844	15387
26	869	15223
27	892	15043
28	915	14876
29	940	14732
30	963	14583
31	989	14466
32	1013	14344
33	1037	14218
34	1057	14048
35	1081	13933
36	1102	13794
37	1123	13664
38	1147	13560
39	1163	13378
40	1185	13267
41	1201	13098
42	1224	13013
43	1244	12900
44	1259	12735
45	1276	12602
46	1302	12556
47	1323	12463
48	1344	12373
49	1368	12319
50	1391	12251
51	1407	12121
52	1421	11991
53	1443	11924
54	1459	11808
55	1481	11743
56	1503	11686
57	1518	11573
58	1538	11499
59	1554	11397
60	1570	11300
61	1591	11244
62	1607	11151
63	1631	11116
64	1645	11014
65	1664	10944
66	1682	10876
67	1705	10836
68	1721	10753
69	1738	10678
70	1761	10642
71	1783	10604
72	1800	10529
73	1821	10483
74	1839	10425
75	1859	10372
76	1875	10303
77	1898	10270
78	1916	10214
79	1937	10173
80	1953	10103
81	1974	10066
82	1996	10028
83	2015	9979
84	2033	9926
85	2055	9894
86	2077	9863
87	2099	9829
88	2122	9800
89	2140	9752
90	2156	9692
91	2175	9648
92	2196	9614
93	2214	9565
94	2237	9538
95	2257	9501
96	2276	9456
97	2297	9424
98	2318	9390
99	2339	9357
100	2357	9312
101	2378	9280
102	2396	9236
103	2418	9207
104	2441	9183
105	2463	9157
106	2481	9115
107	2499	9072
108	2520	9042
109	2542	9012
110	2563	8982
111	2580	8941
112	2603	8914
113	2622	8879
114	2643	8849
115	2664	8820
116	2683	8783
117	2704	8754
118	2726	8728
119	2744	8692
120	2765	8663
121	2787	8635
122	2808	8608
123	2823	8562
124	2844	8532
125	2863	8499
126	2885	8473
127	2904	8442
128	2923	8407
129	2938	8363
130	2959	8336
131	2981	8311
132	3001	8282
133	3023	8257
134	3043	8227
135	3065	8204
136	3086	8178
137	3108	8152
138	3129	8128
139	3151	8103
140	3173	8079
141	3197	8061
142	3219	8037
143	3241	8013
144	3267	8000
145	3292	7983
146	3314	7959
147	3336	7935
148	3358	7910
149	3379	7886
150	3407	7876
151	3432	7859
152	3455	7836
153	3476	7810
154	3497	7784
155	3518	7759
156	3539	7733
157	3560	7706
158	3581	7681
159	3602	7655
160	3624	7632
161	3646	7608
162	3668	7583
163	3689	7559
164	3711	7536
165	3733	7511
166	3755	7488
167	3776	7462
168	3797	7437
169	3818	7413
170	3840	7389
171	3862	7365
172	3884	7341
173	3906	7319
174	3928	7296
175	3949	7271
176	3970	7246
177	3993	7223
178	4013	7197
179	4034	7172
180	4055	7147
181	4076	7123
182	4098	7098
183	4119	7074
184	4139	7048
185	4161	7024
186	4181	6999
187	4202	6974
188	4223	6949
189	4244	6925
190	4264	6899
191	4285	6875
192	4306	6850
193	4327	6825
194	4348	6801
195	4369	6776
196	4389	6751
197	4413	6730
198	4439	6715
199	4462	6693
200	4484	6671
201	4506	6648
202	4529	6627
203	4553	6607
204	4575	6584
205	4596	6560
206	4618	6537
207	4639	6513
208	4661	6490
209	4682	6466
210	4703	6442
211	4723	6417
212	4744	6392
213	4765	6369
214	4789	6349
215	4810	6325
216	4831	6300
217	4852	6276
218	4872	6252
219	4893	6227
220	4913	6203
221	4934	6179
222	4955	6155
223	4976	6131
224	4997	6107
225	5019	6086
226	5042	6064
227	5063	6040
228	5084	6017
229	5106	5995
230	5129	5973
231	5152	5951
232	5176	5931
233	5200	5911
234	5224	5891
235	5246	5869
236	5270	5848
237	5291	5825
238	5313	5802
239	5335	5780
240	5357	5757
241	5378	5734
242	5400	5711
243	5421	5688
244	5444	5666
245	5471	5649
246	5492	5626
247	5513	5602
248	5536	5581
249	5557	5557
250	5578	5533
251	5599	5510
252	5619	5486
253	5638	5461
254	5659	5437
255	5679	5413
256	5699	5388
257	5719	5364
258	5738	5339
259	5757	5314
260	5776	5289
261	5794	5263
262	5813	5238
263	5832	5213
264	5850	5188
265	5869	5163
266	5887	5137
267	5904	5111
268	5922	5085
269	5939	5059
270	5956	5033
271	5974	5007
272	5991	4981
273	6007	4955
274	6025	4930
275	6043	4904
276	6060	4878
277	6076	4852
278	6092	4826
279	6109	4800
280	6125	4774
281	6141	4747
282	6157	4721
283	6174	4695
284	6190	4669
285	6207	4644
286	6224	4619
287	6240	4593
288	6257	4568
289	6273	4542
290	6289	4516
291	6305	4491
292	6321	4466
293	6339	4441
294	6356	4417
295	6372	4392
296	6388	4366
297	6405	4342
298	6422	4317
299	6439	4292
300	6455	4267
301	6478	4247
302	6497	4224
303	6514	4200
304	6531	4175
305	6548	4151
306	6565	4127
307	6581	4103
308	6598	4078
309	6614	4054
310	6631	4029
311	6647	4005
312	6665	3982
313	6682	3958
314	6698	3933
315	6714	3909
316	6730	3885
317	6747	3861
318	6763	3837
319	6779	3813
320	6795	3789
321	6811	3765
322	6828	3741
323	6844	3718
324	6860	3694
325	6876	3670
326	6892	3646
327	6908	3622
328	6925	3599
329	6942	3576
330	6959	3553
331	6975	3529
332	6992	3506
333	7010	3484
334	7026	3460
335	7043	3437
336	7059	3414
337	7075	3391
338	7092	3368
339	7108	3345
340	7125	3322
341	7144	3300
342	7161	3278
343	7178	3255
344	7194	3232
345	7211	3209
346	7227	3186
347	7243	3164
348	7260	3141
349	7277	3118
350	7293	3095
351	7309	3073
352	7325	3050
353	7341	3027
354	7356	3004
355	7373	2982
356	7388	2959
357	7404	2937
358	7420	2914
359	7437	2892
360	7453	2869
361	7470	2848
362	7490	2826
363	7510	2806
364	7527	2784
365	7544	2762
366	7560	2740
367	7577	2717
368	7593	2695
369	7609	2673
370	7625	2651
371	7643	2629
372	7659	2607
373	7675	2586
374	7692	2564
375	7708	2542
376	7724	2520
377	7739	2498
378	7755	2476
379	7771	2454
380	7788	2432
381	7803	2410
382	7820	2389
383	7836	2367
384	7852	2345
385	7868	2323
386	7884	2302
387	7900	2280
388	7916	2259
389	7933	2237
390	7949	2216
391	7965	2194
392	7983	2173
