amount,balance,currency,hour,description,recentTxCount,isFraud
506.06,6616.27,RON,18,transfer,0,0
45.73,4483.41,RON,10,transfer,2,0
57.12,5892.64,RON,12,payment,2,0
319.08,4940.02,RON,16,subscription,3,0
17.64,3826.6,RON,17,payment,0,0
122.41,3667.79,RON,21,payment,1,0
119.03,7568.99,RON,18,shopping,1,0
3.47,6478.16,USD,16,shopping,3,0
336.24,6183.63,EUR,19,bills,1,0
4882.93,1434.3,USD,1,lottery,4,1
21.31,4716.99,EUR,12,payment,1,0
756.76,5961.21,RON,21,payment,3,0
3.15,4613.43,EUR,13,subscription,2,0
294.26,4555.22,RON,16,subscription,1,0
195.56,2796.5,RON,18,payment,1,0
130.18,4120.11,RON,8,subscription,3,0
118.93,3229.45,RON,7,transfer,1,0
123.98,2349.92,RON,6,bills,0,0
5548.34,1858.28,USD,3,urgent transfer,4,1
68.06,4400.59,RON,8,subscription,2,0
288.91,5583.85,USD,17,transfer,1,0
65.32,4238.77,RON,6,transfer,2,0
87.53,5837.12,EUR,18,transfer,2,0
66.59,6059.11,EUR,7,subscription,2,0
43.01,6997.84,RON,9,bills,4,0
122.9,6078.58,RON,10,bills,0,0
44.86,2396.19,EUR,17,payment,2,0
3882.92,694.48,RON,1,crypto,5,1
158.35,6541.05,USD,10,payment,2,0
251.78,4419.49,RON,21,transfer,3,0
757.51,4073.72,USD,20,subscription,3,0
252.11,3912.81,RON,10,shopping,2,0
70.74,6192.83,EUR,11,bills,1,0
628.9,2715.41,RON,14,payment,3,0
152.0,5319.11,RON,6,transfer,4,0
276.13,4315.14,RON,11,bills,3,0
245.61,7025.55,RON,6,shopping,2,0
64.87,5966.21,RON,17,payment,2,0
355.08,5593.45,USD,18,shopping,0,0
280.01,6443.61,RON,11,transfer,2,0
508.35,5410.99,USD,18,payment,5,0
205.62,2083.54,RON,21,payment,1,0
853.25,7044.54,RON,7,shopping,4,0
202.25,5321.64,EUR,21,transfer,2,0
586.18,3527.55,EUR,17,subscription,3,0
464.09,5945.69,RON,14,bills,1,0
689.36,5158.03,RON,20,bills,4,0
278.41,5517.81,RON,13,payment,0,0
44.2,2159.74,RON,7,shopping,2,0
3753.44,2298.25,EUR,1,urgent transfer,2,1
172.88,4392.24,EUR,9,transfer,3,0
233.23,6959.03,EUR,8,shopping,0,0
37.23,6305.14,RON,9,subscription,2,0
42.12,6073.87,EUR,12,shopping,5,0
112.25,4230.08,RON,9,shopping,1,0
220.83,6214.54,RON,14,bills,2,0
33.88,4985.35,RON,16,shopping,1,0
73.0,5879.21,RON,6,shopping,4,0
318.42,8381.24,RON,17,bills,1,0
37.12,4507.16,RON,12,bills,4,0
173.39,5524.35,RON,14,bills,2,0
176.04,5357.44,RON,14,bills,2,0
284.14,3901.62,EUR,14,shopping,1,0
120.17,4076.29,EUR,15,subscription,3,0
103.5,4161.74,RON,9,transfer,2,0
357.08,3379.25,RON,16,bills,9,0
57.79,7407.26,RON,11,shopping,2,0
14.97,4271.89,EUR,14,payment,0,0
96.74,3627.4,RON,16,shopping,2,0
615.16,7577.96,RON,10,transfer,2,0
38.97,6495.01,EUR,11,payment,1,0
98.82,6409.99,USD,21,subscription,2,0
51.36,3254.18,RON,19,bills,0,0
18.92,3242.76,USD,9,bills,2,0
42.1,2387.28,RON,10,shopping,4,0
73.57,3087.27,EUR,20,bills,3,0
213.53,3565.67,RON,12,bills,2,0
4035.75,3134.35,USD,1,urgent transfer,11,1
113.6,6136.83,RON,12,bills,3,0
242.2,6981.18,RON,6,transfer,3,0
64.43,5582.79,USD,6,subscription,2,0
192.11,5822.06,RON,20,subscription,3,0
283.79,6311.04,RON,17,transfer,4,0
683.38,7169.87,RON,6,shopping,1,0
233.5,5596.95,RON,16,payment,1,0
288.35,5811.01,EUR,19,transfer,1,0
73.0,5151.4,RON,19,payment,2,0
313.44,6629.91,RON,10,shopping,1,0
520.84,6136.23,RON,18,transfer,3,0
55.99,5500.25,EUR,17,subscription,0,0
73.2,7400.24,RON,10,subscription,1,0
256.03,4575.02,RON,7,payment,2,0
481.87,2255.3,RON,21,bills,3,0
256.0,4163.48,RON,18,bills,1,0
5635.17,995.42,USD,4,lottery,5,1
165.48,5563.9,EUR,15,transfer,3,0
66.15,5243.32,RON,20,transfer,0,0
12.82,3380.34,RON,6,bills,2,0
6.59,6825.47,RON,12,shopping,1,0
212.06,5187.56,RON,14,bills,1,0
181.42,5640.93,RON,6,bills,3,0
95.64,7951.76,USD,13,transfer,4,0
3788.5,2077.34,EUR,3,urgent transfer,4,1
459.33,6412.41,RON,17,transfer,1,0
157.34,5833.64,RON,18,bills,0,0
158.49,2723.47,RON,10,shopping,1,0
152.74,6646.65,RON,6,shopping,3,0
70.8,2504.84,EUR,12,bills,1,0
35.79,6109.93,RON,21,transfer,2,0
863.71,4192.7,EUR,9,subscription,0,0
37.99,6944.75,RON,7,payment,4,0
113.79,5959.86,RON,17,bills,2,0
64.93,2688.57,RON,15,bills,3,0
377.46,3816.61,RON,11,shopping,0,0
225.09,3741.48,RON,21,subscription,3,0
70.33,1426.97,RON,16,subscription,3,0
2915.4,2182.1,USD,0,lottery,4,1
19.03,5398.45,USD,20,bills,2,0
151.05,2331.62,RON,14,shopping,0,0
71.31,6918.55,EUR,17,payment,3,0
497.21,5616.15,RON,13,shopping,1,0
666.95,3590.16,RON,13,subscription,4,0
132.65,1911.74,EUR,8,transfer,4,0
136.96,3163.96,RON,21,shopping,1,0
3936.51,2108.51,USD,0,urgent transfer,5,1
61.03,4790.32,RON,17,transfer,3,0
378.33,5532.43,RON,20,bills,4,0
179.09,5883.78,RON,21,transfer,0,0
113.38,8024.13,RON,16,transfer,3,0
47.86,4759.95,RON,14,shopping,3,0
676.91,4388.18,EUR,13,subscription,4,0
89.28,4478.71,RON,18,shopping,2,0
65.58,5944.76,RON,15,payment,1,0
27.69,6216.48,RON,6,subscription,0,0
40.9,4710.07,RON,16,payment,2,0
350.68,7384.52,RON,7,transfer,2,0
102.35,2790.76,EUR,17,transfer,5,0
199.74,4426.86,RON,10,payment,0,0
109.08,4808.83,RON,8,payment,1,0
173.39,5862.96,RON,11,transfer,1,0
142.32,5241.58,EUR,11,bills,2,0
102.64,6201.32,RON,6,bills,3,0
429.81,4610.65,RON,17,shopping,4,0
41.94,6167.61,RON,17,bills,5,0
306.08,7301.18,RON,7,subscription,4,0
13.2,3069.59,EUR,11,transfer,2,0
239.09,2674.24,USD,16,transfer,0,0
385.65,3541.97,RON,19,bills,1,0
362.33,3743.18,RON,12,subscription,1,0
124.61,6656.61,EUR,14,bills,3,0
54.39,5428.85,RON,18,shopping,1,0
3.36,6193.45,RON,20,shopping,2,0
389.67,5193.27,EUR,6,subscription,5,0
85.45,5896.24,USD,17,payment,1,0
155.08,3006.9,RON,18,transfer,5,0
77.08,4756.31,RON,18,shopping,2,0
61.85,2530.64,RON,14,transfer,3,0
109.79,4187.01,EUR,15,shopping,0,0
395.2,3314.69,USD,11,bills,4,0
74.08,6501.94,RON,6,transfer,2,0
63.51,6028.81,RON,11,subscription,1,0
203.27,5748.13,RON,12,payment,2,0
314.28,6481.12,RON,11,bills,2,0
621.86,3812.52,RON,19,payment,1,0
145.73,4460.4,EUR,7,transfer,2,0
23.58,4208.99,EUR,19,subscription,5,0
0.32,4452.18,USD,18,payment,5,0
35.03,2620.69,RON,8,payment,2,0
194.04,4722.37,RON,13,payment,0,0
17.08,7354.22,RON,21,transfer,2,0
417.03,2122.71,RON,14,subscription,1,0
10.74,4730.35,RON,21,payment,1,0
135.73,2109.62,EUR,12,subscription,2,0
280.38,5713.6,EUR,17,transfer,1,0
41.99,4846.94,RON,18,bills,4,0
40.35,5006.96,RON,14,shopping,1,0
79.52,3951.85,RON,9,subscription,4,0
359.99,6140.74,RON,6,shopping,0,0
85.6,5395.33,USD,12,subscription,3,0
131.14,3686.28,RON,17,shopping,1,0
